"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,         117,      -10.72975998,      -11.16954819,      -11.78696618,      -11.63863688
          0,           0,         118,      -10.75065703,      -11.19010476,      -11.80962726,      -11.65855451
          0,           0,         119,      -10.77159657,      -11.21098692,       -11.8325934,      -11.67831846
          0,           0,         120,      -10.79249559,       -11.2319232,       -11.8547507,      -11.70061813
          0,           0,         121,      -10.81353596,      -11.25258498,      -11.87763895,      -11.71923111
          0,           0,         122,      -10.83451939,      -11.27372839,      -11.89964172,      -11.74103457
          0,           0,         123,      -10.85556519,      -11.29451947,      -11.92183339,      -11.76172349
          0,           0,         124,      -10.87668572,      -11.31549836,      -11.94458614,      -11.78103254
          0,           0,         125,      -10.89774032,      -11.33666757,      -11.96635824,      -11.80368928
          0,           0,         126,      -10.91893002,      -11.35746121,      -11.98846404,      -11.82269673
          0,           0,         127,       -10.9400842,      -11.37874558,      -12.01053501,      -11.84406426
          0,           0,         128,      -10.96126094,      -11.39976756,      -12.03239476,      -11.86558038
          0,           0,         129,      -10.98253926,      -11.42081271,      -12.05449008,      -11.88463013
          0,           0,         130,      -11.00373754,      -11.44218658,      -12.07617813,      -11.90743463
          0,           0,         131,      -11.02505328,      -11.46312912,      -12.09803201,      -11.92705369
          0,           0,         132,      -11.04636244,      -11.48450693,      -12.11993063,      -11.94792408
          0,           0,         133,      -11.06765556,      -11.50575363,      -12.14174695,      -11.97018206
          0,           0,         134,      -11.08906893,      -11.52685947,      -12.16349194,      -11.98917552
          0,           0,         135,      -11.11040027,      -11.54839964,      -12.18511305,      -12.01190383
          0,           0,         136,      -11.13182172,      -11.56950733,       -12.2070726,      -12.03227536
          0,           0,         137,      -11.15326923,      -11.59093776,      -12.22873157,      -12.05264577
          0,           0,         138,      -11.17466659,      -11.61239128,      -12.25042084,      -12.07548697
          0,           0,         139,      -11.19619287,      -11.63356691,      -12.27225547,      -12.09464524
          0,           0,         140,       -11.2176471,      -11.65522889,      -12.29382849,      -12.11709094
          0,           0,         141,      -11.23915685,      -11.67650726,      -12.31579704,      -12.13827492
          0,           0,         142,      -11.26072547,      -11.69796549,      -12.33739547,       -12.1582158
          0,           0,         143,      -11.28221788,      -11.71960391,       -12.3590101,      -12.18142779
          0,           0,         144,      -11.30383618,      -11.74086101,      -12.38102369,      -12.20095613
          0,           0,         145,       -11.3254034,      -11.76259755,      -12.40249436,       -12.2229635
          0,           0,         146,       -11.3469873,      -11.78404972,      -12.42437788,      -12.24493979
          0,           0,         147,      -11.36865919,      -11.80552538,      -12.44613934,       -12.2645804
