"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         119,      -6.325341463,      -3.071929711,      -3.890394736,      -0.830877023
          0,           0,         120,       -6.36957605,      -3.077686146,      -3.961141375,      -0.872798754
          0,           0,         121,       -6.12874805,      -3.089348692,      -3.769927553,     -0.6419033181
          0,           0,         122,      -6.558486664,      -3.088490804,      -4.009395112,      -1.059431964
          0,           0,         123,      -6.568616817,      -3.090118258,      -4.047428965,      -1.058469328
          0,           0,         124,      -6.421332952,       -3.09574409,      -3.969747554,     -0.9244536029
          0,           0,         125,      -6.745302683,      -3.095598459,      -4.188109961,      -1.216017951
          0,           0,         126,      -6.672011073,      -3.096677311,      -4.122003009,      -1.147808562
          0,           0,         127,      -6.563739335,      -3.100331623,      -4.068461787,      -1.054982326
          0,           0,         128,      -6.349933787,      -3.106989691,      -3.914890125,     -0.8581872963
          0,           0,         129,      -6.742431974,      -3.106457332,       -4.19638615,      -1.216887447
          0,           0,         130,       -6.68486177,       -3.10730629,      -4.144886905,      -1.159385146
          0,           0,         131,      -6.592048603,      -3.111091502,      -4.107815779,      -1.081688616
          0,           0,         132,       -6.35649384,      -3.117743678,       -3.92043891,     -0.8655566055
          0,           0,         133,      -6.752389548,      -3.117135462,      -4.210371759,       -1.22688645
          0,           0,         134,      -6.699139892,      -3.117983768,      -4.164578358,      -1.173027602
          0,           0,         135,      -6.615052296,      -3.121791662,      -4.139857172,      -1.103688628
          0,           0,         136,      -6.372737058,      -3.128436528,      -3.940348967,     -0.8820950416
          0,           0,         137,      -6.757926207,      -3.127791101,      -4.220711498,      -1.234068778
          0,           0,         138,       -6.70475659,      -3.128636091,       -4.17297494,      -1.180231152
          0,           0,         139,      -6.629830577,      -3.132436331,      -4.157018482,      -1.118780659
          0,           0,         140,      -6.396279134,      -3.139084888,      -3.974285105,     -0.9056544496
          0,           0,         141,      -6.437441594,      -3.144590983,      -4.045682532,     -0.9455961077
          0,           0,         142,      -6.188315469,       -3.15596322,      -3.819264658,      -0.704908644
          0,           0,         143,       -6.62052242,      -3.154536341,      -4.095736467,      -1.125174524
          0,           0,         144,      -6.767321761,      -3.153746045,      -4.210425785,      -1.238919388
          0,           0,         145,      -6.769675345,      -3.155496937,      -4.238534692,      -1.238480546
          0,           0,         146,      -6.618368936,      -3.159529827,      -4.141330014,      -1.116049325
          0,           0,         147,      -6.404836669,      -3.166143394,      -3.977745585,     -0.9174594916
          0,           0,         148,      -6.819042888,      -3.165308873,       -4.30203737,      -1.294722738
          0,           0,         149,      -6.859444017,      -3.164955987,       -4.31401972,      -1.308777309
          0,           0,         150,      -6.834230096,      -3.166885356,      -4.318371164,      -1.292266744
          0,           0,         151,      -6.641849169,      -3.170867256,      -4.176485307,      -1.139375822
