"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         149,      -4.732806491,       -2.98579447,      -3.823043638,      -0.611872009
          0,           0,         150,      -4.733269064,      -2.985993411,       -3.82712891,     -0.7976452904
          0,           0,         151,      -4.738188727,      -2.990557786,      -3.841510597,     -0.6233289299
          0,           0,         152,      -4.738621981,      -2.990752794,      -3.842983901,       -0.80882866
          0,           0,         153,      -4.743483978,      -2.995251961,      -3.858941379,     -0.6344263867
          0,           0,         154,       -4.74388859,      -2.995443056,      -3.857799955,     -0.8194135052
          0,           0,         155,      -4.748694249,      -2.999878563,      -3.874664331,     -0.6450240936
          0,           0,         156,      -4.749071617,      -3.000066063,      -3.871593427,     -0.8293848482
          0,           0,         157,      -4.753822101,       -3.00443913,       -3.88881869,     -0.6551559144
          0,           0,         158,      -4.754174113,      -3.004623459,      -3.884675814,     -0.8389015814
          0,           0,         159,      -4.758870302,      -3.008935239,      -3.901957901,     -0.6649493721
          0,           0,         160,      -4.759199061,       -3.00911669,       -3.89740932,     -0.8481596746
          0,           0,         161,      -4.763841873,      -3.013368337,      -3.914557797,     -0.6745134179
          0,           0,         162,      -4.764149402,      -3.013546903,      -3.910039565,     -0.8572956058
          0,           0,         163,      -4.768739612,      -3.017740086,      -3.926921098,     -0.6839228982
          0,           0,         164,      -4.769027826,      -3.017915454,      -3.922661921,     -0.8663559519
          0,           0,         165,      -4.773565891,      -3.022052452,      -3.939361445,     -0.6932511421
          0,           0,         166,       -4.77383662,      -3.022224209,      -3.935394071,     -0.8753739473
          0,           0,         167,      -4.778323318,      -3.026307093,      -3.952424779,     -0.7026030127
          0,           0,         168,      -4.778578033,      -3.026474958,      -3.948552019,     -0.8844754356
          0,           0,         169,      -4.783014554,      -3.030505604,      -3.966787451,     -0.7120767437
          0,           0,         170,      -4.783254064,      -3.030669583,      -3.962521517,     -0.8937967052
          0,           0,         171,      -4.787642097,      -3.034649574,      -3.982905786,     -0.7217116681
          0,           0,         172,      -4.787866516,      -3.034809904,      -3.977412514,      -0.903372112
          0,           0,         173,      -4.792207916,      -3.038740605,      -4.000599598,     -0.7314497947
          0,           0,         174,      -4.792416961,       -3.03889753,      -3.992878176,     -0.9130586316
          0,           0,         175,      -4.796713032,      -3.042780603,       -4.01903084,     -0.7411457813
          0,           0,         176,      -4.796906512,      -3.042934235,      -4.008182805,     -0.9225666019
          0,           0,         177,      -4.801158758,       -3.04677071,      -4.036872604,     -0.7505921745
          0,           0,         178,      -4.801336641,      -3.046921177,      -4.022536941,     -0.9316148223
          0,           0,         179,      -4.805546153,      -3.050711905,      -4.052828014,     -0.7596140613
          0,           0,         180,       -4.80570879,      -3.050859473,      -4.035541757,      -0.940059911
          0,           0,         181,      -4.809876336,       -3.05460525,      -4.066284602,     -0.7681403072
          0,           0,         182,      -4.810024549,      -3.054750206,      -4.047196897,     -0.9479180227
          0,           0,         183,      -4.814150808,      -3.058451695,      -4.077428593,      -0.776220553
          0,           0,         184,      -4.814285691,      -3.058594271,      -4.057810296,     -0.9553250935
          0,           0,         185,      -4.818371288,      -3.062252185,      -4.086935258,     -0.7839706036
          0,           0,         186,      -4.818494045,      -3.062392448,      -4.067826512,     -0.9624613069
          0,           0,         187,      -4.822539611,      -3.066007712,      -4.095632185,     -0.7915228192
          0,           0,         188,      -4.822651414,       -3.06614553,      -4.077695943,     -0.9694961359
          0,           0,         189,      -4.826657426,      -3.069719498,      -4.104368083,     -0.7990101183
          0,           0,         190,      -4.826759397,      -3.069854581,      -4.087812246,     -0.9765602278
          0,           0,         191,      -4.830726283,      -3.073388763,      -4.114005933,     -0.8065648027
